Material ID,Formula,Transition Metal Group,Crystal System,Space Group,Total Magnetization (μB),Magnetization per Atom (µB/atom),Num Atoms,Is Stable
mp-1188032,Zr3Cl,Zr,Hexagonal,P6_3/mmc,0.0039795,0.0004974375,8,False
mp-27440,ZrCl,Zr,Trigonal,R-3m,0.0,0.0,4,True
mp-1067974,ZrCl,Zr,Trigonal,P-3m1,0.342458,0.0856145,4,False
mp-23162,ZrCl2,Zr,Trigonal,R3m,0.0,0.0,3,True
mp-571537,ZrCl2,Zr,Trigonal,R-3,2.0001202,0.11111778888888889,18,False
mp-22871,ZrCl3,Zr,Hexagonal,P6_3/mcm,0.0,0.0,8,False
mp-569391,ZrCl3,Zr,Trigonal,P-31m,2.0002169,0.2500271125,8,False
mp-685155,ZrCl3,Zr,Trigonal,R-3,1.9976984,0.2497123,8,False
mp-1100795,ZrCl3,Zr,Triclinic,P-1,0.0,0.0,8,True
mp-1192044,ZrCl3,Zr,Monoclinic,C2/m,1.9992817,0.08330340416666666,24,False
mp-2353328,ZrCl3,Zr,Monoclinic,C2/m,2.0,0.25,8,False
mp-569175,ZrCl4,Zr,Monoclinic,P2/c,0.0,0.0,10,True
mp-1183201,Au3Cl,Au,Tetragonal,I4/mmm,0.0001962,4.905e-05,4,False
mp-32780,AuCl,Au,Tetragonal,I4_1/amd,0.0,0.0,8,True
mp-1120780,AuCl,Au,Tetragonal,P4_2/ncm,0.0,0.0,8,False
mp-1183171,AuCl,Au,Hexagonal,P6_3mc,0.0,0.0,4,False
mp-1228677,AuCl,Au,Monoclinic,Cm,7.08e-05,3.54e-05,2,False
mp-541656,AuCl2,Au,Triclinic,P-1,0.0,0.0,12,True
mp-27647,AuCl3,Au,Monoclinic,P2_1/c,0.0,0.0,16,True
mp-1214857,AuCl4,Au,Tetragonal,I4_1/amd,2.0050894,0.20050894000000002,10,False
mp-1184605,Hg3Cl,Hg,Cubic,Fm-3m,9.19e-05,2.2975e-05,4,False
mp-22897,HgCl,Hg,Tetragonal,I4/mmm,0.0,0.0,4,True
mp-22855,HgCl2,Hg,Orthorhombic,Pnma,0.0,0.0,12,True
mp-1102919,HgCl2,Hg,Orthorhombic,Pnma,0.009538,0.0007948333333333333,12,False
mp-864915,HfBr3,Hf,Hexagonal,P6_3/mmc,0.5482894,0.068536175,8,False
mp-1212517,HfBr4,Hf,Cubic,Pa-3,0.0,0.0,40,True
mp-27397,IrBr3,Ir,Monoclinic,C2/m,2e-07,2.5e-08,8,True
mp-28301,OsBr4,Os,Orthorhombic,Pbca,15.9966082,0.399915205,40,True
mp-23165,PtBr3,Pt,Trigonal,R-3,0.0,0.0,48,True
mp-1210365,Re3Br7,Re,Triclinic,P-1,0.0001038,2.595e-06,40,True
mp-974474,ReBr,Re,Hexagonal,P6_3mc,6.92e-05,1.73e-05,4,False
mp-680077,Ta2Br5,Ta,Cubic,Ia-3d,0.0027697,1.6486309523809525e-05,168,True
mp-29412,Ta3Br7,Ta,Orthorhombic,Cmce,0.0,0.0,40,True
mp-1198538,Ta3Br7,Ta,Orthorhombic,Cmce,0.0023986,5.9965e-05,40,False
mp-568846,TaBr5,Ta,Orthorhombic,Pnma,0.0,0.0,48,True
mp-1203015,TaBr5,Ta,Monoclinic,C2/m,0.0,0.0,36,False
mp-1197907,W2Br5,W,Monoclinic,P2_1/c,0.0006291,1.1233928571428571e-05,56,False
mp-28880,W3Br7,W,Cubic,Pn-3,0.0104502,0.0001306275,80,False
mp-27765,W3Br8,W,Orthorhombic,Cmce,4.0332691,0.09166520681818181,44,False
mp-29498,WBr2,W,Orthorhombic,Cmce,0.0,0.0,36,True
mp-1078239,WBr4,W,Monoclinic,C2/m,2.0,0.2,10,False
mp-29554,WBr5,W,Monoclinic,C2/m,5.9328042,0.16480011666666666,36,False
mp-1095321,WBr5,W,Triclinic,P-1,1.9999998,0.16666665,12,False
mp-1436789,WBr5,W,Triclinic,P-1,0.0037788,0.0003149,12,False
mp-28483,WBr6,W,Trigonal,R-3,0.0,0.0,7,True
mp-22913,CuBr,Cu,Cubic,F-43m,0.0,0.0,2,True
mp-22917,CuBr,Cu,Tetragonal,P4/nmm,4e-07,1e-07,4,False
mp-23212,CuBr,Cu,Cubic,Pa-3,0.0006547,4.091875e-05,16,False
mp-23227,CuBr,Cu,Hexagonal,P6_3/mmc,0.0,0.0,4,False
mp-32880,CuBr,Cu,Tetragonal,I-4m2,0.0001354,6.77e-05,2,False
mp-570354,CuBr,Cu,Cubic,Fm-3m,0.0,0.0,2,False
mp-23219,CuBr2,Cu,Monoclinic,C2/m,1.0031586,0.33438619999999997,3,False
mp-1147530,CuBr2,Cu,Tetragonal,P4/mmm,0.0015531,0.0005177,3,False
mp-1147532,CuBr2,Cu,Tetragonal,I4/mmm,0.0002911,9.703333333333332e-05,3,False
mp-2360071,CuBr2,Cu,Monoclinic,C2/m,0.0,0.0,3,True
mp-29555,MoBr2,Mo,Orthorhombic,Cmce,0.0,0.0,36,True
mp-23312,MoBr3,Mo,Orthorhombic,Pmmn,8.0,0.5,16,True
mp-1205355,MoBr3,Mo,Hexagonal,P6_3/mcm,3.9990259,0.4998782375,8,False
mp-568616,Nb2Br5,Nb,Orthorhombic,Cmcm,0.0431461,0.0030818642857142857,14,False
mp-655086,Nb2Br5,Nb,Orthorhombic,Cmcm,6.092926,0.435209,14,False
mp-27771,Nb3Br8,Nb,Trigonal,R-3m,2.0,0.09090909090909091,22,True
mp-1080428,NbBr4,Nb,Monoclinic,C2/m,0.0,0.0,10,True
mp-28601,NbBr5,Nb,Orthorhombic,Pnma,0.0,0.0,48,True
mp-568245,NbBr5,Nb,Triclinic,P-1,0.0,0.0,12,False
mp-662752,NbBr5,Nb,Triclinic,P-1,5.06e-05,4.216666666666666e-06,12,False
mp-27637,NiBr2,Ni,Trigonal,R-3m,2.0,0.6666666666666666,3,True
mp-1173456,NiBr2,Ni,Trigonal,R-3m,2.0001122,0.6667040666666666,3,False
mp-1205567,Y2Br3,Y,Monoclinic,C2/m,0.0,0.0,10,False
mp-865534,YBr2,Y,Tetragonal,P4_2/mnm,0.4871017,0.08118361666666667,6,False
mp-754815,YBr3,Y,Monoclinic,C2/m,0.0,0.0,8,True
mp-865605,YBr3,Y,Hexagonal,P6_3/mmc,0.0,0.0,8,False
mp-569960,ZnBr2,Zn,Trigonal,R-3m,0.0,0.0,3,False
mp-647579,ZnBr2,Zn,Tetragonal,I4_1/acd,0.0,0.0,48,True
mp-1178766,ZnBr2,Zn,Monoclinic,C2/m,0.0001846,6.153333333333333e-05,3,False
mp-1206305,ZnBr6,Zn,Orthorhombic,Cmmm,3.77316,0.5390228571428571,7,False
mp-1188037,Zr3Br,Zr,Hexagonal,P6_3/mmc,0.0124771,0.0015596375,8,False
mp-504594,ZrBr,Zr,Trigonal,R-3m,0.0,0.0,4,True
mp-1065846,ZrBr,Zr,Monoclinic,C2/m,1e-07,2.5e-08,4,False
mp-1066783,ZrBr,Zr,Trigonal,P-3m1,0.0002936,7.34e-05,4,False
mp-28495,ZrBr2,Zr,Trigonal,R-3,2.0045619,0.11136455,18,False
mp-23247,ZrBr3,Zr,Hexagonal,P6_3/mcm,4e-07,5e-08,8,True
mp-1207486,ZrBr4,Zr,Cubic,Pa-3,0.0,0.0,40,True
mp-862982,Ag2Br3,Ag,Trigonal,R-3c,0.0005265,5.264999999999999e-05,10,True
mp-1183272,Ag3Br,Ag,Hexagonal,P6_3/mmc,0.000318,3.975e-05,8,False
mp-23231,AgBr,Ag,Cubic,Fm-3m,0.0,0.0,2,True
mp-570301,AgBr,Ag,Monoclinic,P2_1/m,0.0,0.0,4,False
mp-866291,AgBr,Ag,Cubic,F-43m,0.0,0.0,2,False
mp-1060967,AgBr,Ag,Cubic,Pm-3m,0.0004218,0.0002109,2,False
mp-2034510,AgBr,Ag,Orthorhombic,Pmmn,0.0,0.0,4,False
mp-27934,CdBr2,Cd,Hexagonal,P6_3mc,0.0,0.0,6,False
mp-568690,CdBr2,Cd,Trigonal,R-3m,0.0,0.0,3,False
